rank,county,state,fips,prospects_combined,prospects_cmu,prospects_hotchkiss
1,Allegheny,PA,42003,13043,13012,31
2,Santa Clara,CA,06085,6009,5950,59
3,New York,NY,36061,4043,2992,1051
4,King,WA,53033,3540,3440,100
5,Los Angeles,CA,06037,2751,2483,268
6,Middlesex,MA,25017,2280,2020,260
7,City and County of San Francisco,CA,06075,2090,1922,168
8,Alameda,CA,06001,1828,1763,65
9,San Mateo,CA,06081,1743,1687,56
10,Kings,NY,36047,1533,1265,268
11,Cook,IL,17031,1469,1305,164
12,Montgomery,MD,24031,1309,1214,95
13,Fairfax,VA,51059,1275,1215,60
14,District of Columbia,DC,11001,1175,1006,169
15,Hudson,NJ,34017,1111,1080,31
16,Western Connecticut,CT,09190,1048,528,520
17,Westchester,NY,36119,1003,723,280
18,San Diego,CA,06073,932,876,56
19,Queens,NY,36081,929,835,94
20,Harris,TX,48201,858,769,89
21,Travis,TX,48453,795,733,62
22,Orange,CA,06059,785,738,47
23,Bergen,NJ,34003,711,628,83
24,Montgomery,PA,42091,648,606,42
25,Nassau,NY,36059,626,508,118
26,Philadelphia,PA,42101,600,545,55
27,Maricopa,AZ,04013,588,549,39
28,Essex,NJ,34013,579,521,58
29,Norfolk,MA,25021,578,461,117
30,Contra Costa,CA,06013,567,538,29
31,Wake,NC,37183,558,517,41
32,Fulton,GA,13121,554,480,74
33,Suffolk,MA,25025,554,441,113
34,Dallas,TX,48113,490,438,52
35,Palm Beach,FL,12099,480,344,136
36,Westmoreland,PA,42129,933,928,5
37,Arlington,VA,51013,463,439,24
38,Capitol Region,CT,09110,461,312,149
39,Miami-Dade,FL,12086,460,371,89
40,Delaware,PA,42045,423,378,45
41,Mecklenburg,NC,37119,416,358,58
42,Mercer,NJ,34021,414,356,58
43,Chester,PA,42029,402,374,28
44,Suffolk,NY,36103,398,300,98
45,Multnomah,OR,41051,382,344,38
46,Morris,NJ,34027,373,333,40
47,Somerset,NJ,34035,362,336,26
48,Denver,CO,08031,346,274,72
49,Essex,MA,25009,337,266,71
50,Butler,PA,42019,667,665,2
51,Boulder,CO,08013,328,280,48
52,Hennepin,MN,27053,318,277,41
53,Washington,PA,42125,612,611,1
54,Union,NJ,34039,298,272,26
55,Anne Arundel,MD,24003,296,269,27
56,Monmouth,NJ,34025,288,255,33
57,Broward,FL,12011,287,265,22
58,Marin,CA,06041,273,197,76
59,Monroe,NY,36055,268,245,23
60,Baltimore (city),MD,24510,267,245,22
61,Oakland,MI,26125,498,484,14
62,Lake,IL,17097,244,200,44
63,Cuyahoga,OH,39035,476,457,19
64,Worcester,MA,25027,232,206,26
65,Wayne,MI,26163,220,192,28
66,Middlesex,NJ,34023,432,423,9
67,Howard,MD,24027,368,352,16
68,Loudoun,VA,51107,364,344,20
69,Franklin,OH,39049,354,338,16
70,Bucks,PA,42017,351,341,10
71,Collin,TX,48085,338,332,6
72,Northwest Hills,CT,09160,335,25,310
73,Snohomish,WA,53061,301,296,5
74,South Central Regional,CT,09170,300,191,109
75,Washington,OR,41067,276,263,13
76,Williamson,TX,48491,268,262,6
77,Baltimore,MD,24005,263,248,15
78,DuPage,IL,17043,259,238,21
79,Beaver,PA,42007,245,245,0
80,Washtenaw,MI,26161,237,226,11
81,Clark,NV,32003,230,211,19
82,Orange,FL,12095,215,199,16
83,Hamilton,OH,39061,206,191,15
84,Dutchess,NY,36027,206,106,100
85,Dane,WI,55025,204,193,11
86,New Castle,DE,10003,204,182,22
87,City of Alexandria,VA,51510,191,167,24
88,St. Louis,MO,29189,178,156,22
89,DeKalb,GA,13089,160,135,25
90,Bronx,NY,36005,157,103,54
91,Connecticut Metropolitan,CT,09120,155,89,66
92,Charleston,SC,45019,153,115,38
93,Cumberland,ME,23005,149,90,59
94,Collier,FL,12021,144,117,27
95,Bexar,TX,48029,139,110,29
96,Arapahoe,CO,08005,139,113,26
97,Plymouth,MA,25023,136,97,39
98,Rockingham,NH,33015,132,109,23
99,Barnstable,MA,25001,128,89,39
100,Providence,RI,44007,121,92,29
101,Santa Barbara,CA,06083,118,93,25
102,Chittenden,VT,50007,117,79,38
103,Albany,NY,36001,117,90,27
104,Lower Connecticut River Valley,CT,09130,107,72,35
105,Santa Fe,NM,35049,104,77,27
106,Hampshire,MA,25015,101,70,31
107,Naugatuck Valley,CT,09140,97,46,51
108,Berkshire,MA,25003,95,40,55
109,Southeastern Connecticut,CT,09180,76,49,27
110,Grafton,NH,33009,69,40,29
111,Hampden,MA,25013,63,31,32
112,Indian River,FL,12061,63,33,30
113,Washington,RI,44009,63,33,30
114,York,ME,23031,61,36,25
115,Gallatin,MT,30031,52,27,25
116,Newport,RI,44005,45,20,25
117,Teton,WY,56039,37,12,25
