rank,county,state,fips,prospects_combined,prospects_cmu,prospects_hotchkiss,cumulative_pct
1,Allegheny,PA,42003,13043,13012,31,12.71
2,Santa Clara,CA,06085,6009,5950,59,18.56
3,New York,NY,36061,4043,2992,1051,22.5
4,King,WA,53033,3540,3440,100,25.95
5,Los Angeles,CA,06037,2751,2483,268,28.63
6,Middlesex,MA,25017,2280,2020,260,30.85
7,City and County of San Francisco,CA,06075,2090,1922,168,32.88
8,Alameda,CA,06001,1828,1763,65,34.66
9,San Mateo,CA,06081,1743,1687,56,36.36
10,Kings,NY,36047,1533,1265,268,37.85
11,Cook,IL,17031,1469,1305,164,39.29
12,Montgomery,MD,24031,1309,1214,95,40.56
13,Fairfax,VA,51059,1275,1215,60,41.8
14,District of Columbia,DC,11001,1175,1006,169,42.95
15,Hudson,NJ,34017,1111,1080,31,44.03
16,Western Connecticut,CT,09190,1048,528,520,45.05
17,Westchester,NY,36119,1003,723,280,46.03
18,Westmoreland,PA,42129,933,928,5,46.94
19,San Diego,CA,06073,932,876,56,47.84
20,Queens,NY,36081,929,835,94,48.75
21,Harris,TX,48201,858,769,89,49.59
22,Travis,TX,48453,795,733,62,50.36
23,Orange,CA,06059,785,738,47,51.12
24,Bergen,NJ,34003,711,628,83,51.82
25,Butler,PA,42019,667,665,2,52.47
26,Montgomery,PA,42091,648,606,42,53.1
27,Nassau,NY,36059,626,508,118,53.71
28,Washington,PA,42125,612,611,1,54.3
29,Philadelphia,PA,42101,600,545,55,54.89
30,Maricopa,AZ,04013,588,549,39,55.46
31,Essex,NJ,34013,579,521,58,56.03
32,Norfolk,MA,25021,578,461,117,56.59
33,Contra Costa,CA,06013,567,538,29,57.14
34,Wake,NC,37183,558,517,41,57.68
35,Suffolk,MA,25025,554,441,113,58.22
36,Fulton,GA,13121,554,480,74,58.76
37,Oakland,MI,26125,498,484,14,59.25
38,Dallas,TX,48113,490,438,52,59.73
39,Palm Beach,FL,12099,480,344,136,60.19
40,Cuyahoga,OH,39035,476,457,19,60.66
41,Arlington,VA,51013,463,439,24,61.11
42,Capitol Region,CT,09110,461,312,149,61.56
43,Miami-Dade,FL,12086,460,371,89,62.01
44,Middlesex,NJ,34023,432,423,9,62.43
45,Delaware,PA,42045,423,378,45,62.84
46,Mecklenburg,NC,37119,416,358,58,63.24
47,Mercer,NJ,34021,414,356,58,63.65
48,Chester,PA,42029,402,374,28,64.04
49,Suffolk,NY,36103,398,300,98,64.43
50,Multnomah,OR,41051,382,344,38,64.8
51,Morris,NJ,34027,373,333,40,65.16
52,Howard,MD,24027,368,352,16,65.52
53,Loudoun,VA,51107,364,344,20,65.88
54,Somerset,NJ,34035,362,336,26,66.23
55,Franklin,OH,39049,354,338,16,66.57
56,Bucks,PA,42017,351,341,10,66.91
57,Denver,CO,08031,346,274,72,67.25
58,Collin,TX,48085,338,332,6,67.58
59,Essex,MA,25009,337,266,71,67.91
60,Northwest Hills,CT,09160,335,25,310,68.24
61,Boulder,CO,08013,328,280,48,68.55
62,Hennepin,MN,27053,318,277,41,68.86
63,Snohomish,WA,53061,301,296,5,69.16
64,South Central Regional,CT,09170,300,191,109,69.45
65,Union,NJ,34039,298,272,26,69.74
